location,continent,date,total_cases,total_deaths,people_vaccinated,population,gdp_per_capita,hospital_beds_per_thousand
Bosnia and Herzegovina,Europe,2022-01-29,332193.0,14005.0,943394.0,3233530,11713.895,3.5
Iceland,Europe,2022-03-29,171318.0,87.0,309770.0,372903,46482.958,2.91
Australia,Oceania,2022-04-07,4563382.0,6831.0,22231734.0,26177410,44648.71,3.84
Mongolia,Asia,2022-05-11,922227.0,2111.0,2272965.0,3398373,11840.846,7.0
San Marino,Europe,2022-05-22,17034.0,115.0,26357.0,33690,56861.47,3.8
Suriname,South America,2022-05-23,80240.0,1339.0,267820.0,618046,13767.119,3.1
United Arab Emirates,Asia,2022-06-20,925898.0,2308.0,9991089.0,9441138,67293.483,1.2
Serbia,Europe,2022-06-23,2022252.0,16108.0,3354075.0,6871547,14048.881,5.609
Slovenia,Europe,2022-07-05,1041529.0,7843.0,1265802.0,2119843,31400.84,4.5
Latvia,Europe,2022-07-11,838484.0,6502.0,1346184.0,1850654,25063.846,5.57
Equatorial Guinea,Africa,2022-07-24,16654.0,183.0,270109.0,1674916,22604.873,2.1
Slovakia,Europe,2022-07-31,1817779.0,20223.0,2595901.0,5643455,30155.152,5.82
Laos,Asia,2022-08-11,211771.0,671.0,5888649.0,7529477,6397.36,1.5
Jordan,Asia,2022-08-21,1731549.0,14105.0,4821579.0,11285875,8337.49,1.4
Montenegro,Europe,2022-08-26,232624.0,2591.0,292783.0,627082,16409.288,3.861
Azerbaijan,Asia,2022-08-28,811559.0,9805.0,5373253.0,10358078,15847.419,4.7
Algeria,Africa,2022-09-04,270426.0,6878.0,7840131.0,44903228,13913.839,1.9
United Kingdom,Europe,2022-09-11,23568556.0,207442.0,53813491.0,67508936,39753.244,2.54
Antigua and Barbuda,North America,2022-09-16,8974.0,145.0,64290.0,93772,21490.943,3.8
Trinidad and Tobago,North America,2022-09-21,182043.0,4184.0,753588.0,1531043,28763.071,3.0
Cape Verde,Africa,2022-09-25,62359.0,410.0,356734.0,593162,6222.554,2.1
Thailand,Asia,2022-09-30,4678352.0,32718.0,57005497.0,71697024,16277.671,2.1
Comoros,Africa,2022-10-02,8475.0,160.0,438825.0,836783,1413.89,2.2
El Salvador,North America,2022-10-02,201785.0,4229.0,4652597.0,6336393,7292.458,1.3
Dominica,North America,2022-10-07,15747.0,74.0,32995.0,72758,9673.367,3.8
Mexico,North America,2022-10-07,7120338.0,330693.0,97179493.0,127504120,17336.469,1.38
Bolivia,South America,2022-10-07,1108262.0,22237.0,7361008.0,12224114,6885.829,1.1
Zimbabwe,Africa,2022-10-09,257655.0,5604.0,6437808.0,16320539,1899.775,1.7
Georgia,Asia,2022-10-13,1796770.0,16867.0,1654504.0,3744385,9745.079,2.6
Oman,Asia,2022-10-25,398775.0,4628.0,3279632.0,4576300,37960.709,1.6
Sri Lanka,Asia,2022-10-30,671070.0,16779.0,17143761.0,21832150,11669.077,3.6
Bhutan,Asia,2022-10-30,62380.0,21.0,699116.0,782457,8708.597,1.7
Solomon Islands,Oceania,2022-10-31,21544.0,153.0,343821.0,724272,2205.923,1.4
Norway,Europe,2022-11-13,1467182.0,4348.0,4346995.0,5434324,64800.057,3.6
Turkey,Asia,2022-11-22,17004677.0,101419.0,57941051.0,85341248,25129.341,2.81
Saint Lucia,North America,2022-12-02,29711.0,408.0,60140.0,179872,12951.839,1.3
